epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,5050.23,0.29673,0.23176,0.81907,0.9767,0.97086,0.99357,0.90722,0.41749,0.24062,0.80888,0.00052975,0.00052975,0.00052975
97,5102.47,0.28452,0.22486,0.81637,0.97327,0.9571,0.99205,0.909,0.41001,0.24854,0.80725,0.0005248,0.0005248,0.0005248
98,5154.68,0.28677,0.22407,0.82074,0.98289,0.9677,0.99357,0.90334,0.41976,0.24684,0.80572,0.00051985,0.00051985,0.00051985
99,5206.21,0.29483,0.22899,0.82259,0.96003,0.98858,0.99068,0.89797,0.41477,0.24821,0.80212,0.0005149,0.0005149,0.0005149
100,5257.71,0.28332,0.21486,0.81539,0.98071,0.9576,0.9931,0.9013,0.42278,0.24889,0.80249,0.00050995,0.00050995,0.00050995
101,5309.24,0.27369,0.21228,0.82376,0.98192,0.97194,0.99357,0.90401,0.4298,0.25209,0.80613,0.000505,0.000505,0.000505
102,5360.73,0.28503,0.21844,0.82056,0.97095,0.96834,0.98911,0.90481,0.43012,0.25306,0.80919,0.00050005,0.00050005,0.00050005
103,5412.25,0.28857,0.21797,0.81906,0.97586,0.9653,0.9931,0.90632,0.42058,0.25256,0.80942,0.0004951,0.0004951,0.0004951
104,5463.76,0.28434,0.22288,0.82246,0.9709,0.97833,0.995,0.90906,0.41242,0.24675,0.80738,0.00049015,0.00049015,0.00049015
105,5515.26,0.28273,0.21713,0.81693,0.97972,0.9739,0.995,0.90616,0.41464,0.24225,0.80733,0.0004852,0.0004852,0.0004852
106,5566.76,0.27943,0.21513,0.82251,0.95676,0.98734,0.995,0.90906,0.41262,0.24394,0.80901,0.00048025,0.00048025,0.00048025
107,5618.28,0.2802,0.21123,0.82698,0.98027,0.96233,0.99431,0.91411,0.40169,0.24853,0.80538,0.0004753,0.0004753,0.0004753
108,5669.83,0.28932,0.22332,0.82297,0.97311,0.96818,0.995,0.91126,0.41652,0.2475,0.80895,0.00047035,0.00047035,0.00047035
109,5721.34,0.27829,0.21698,0.82237,0.98051,0.9643,0.995,0.90887,0.41255,0.24109,0.80971,0.0004654,0.0004654,0.0004654
110,5772.85,0.26961,0.21152,0.81419,0.97746,0.96528,0.995,0.91784,0.40352,0.24776,0.81246,0.00046045,0.00046045,0.00046045
111,5824.44,0.27911,0.21539,0.8193,0.97714,0.96627,0.99431,0.91176,0.41149,0.25348,0.80814,0.0004555,0.0004555,0.0004555
112,5875.95,0.28407,0.21695,0.82196,0.98041,0.96041,0.995,0.91315,0.41532,0.24954,0.80622,0.00045055,0.00045055,0.00045055
113,5927.45,0.27719,0.21117,0.82217,0.96989,0.96441,0.99248,0.9135,0.40187,0.25016,0.8087,0.0004456,0.0004456,0.0004456
114,5978.98,0.27586,0.21654,0.82167,0.97202,0.97032,0.99391,0.90774,0.41153,0.24618,0.80778,0.00044065,0.00044065,0.00044065
115,6030.48,0.27646,0.21187,0.81739,0.97042,0.96931,0.99322,0.9131,0.40503,0.24518,0.80909,0.0004357,0.0004357,0.0004357
116,6081.98,0.27167,0.21023,0.82326,0.97774,0.95564,0.99042,0.91032,0.40479,0.24655,0.81055,0.00043075,0.00043075,0.00043075
117,6133.51,0.28118,0.21206,0.82154,0.97786,0.95853,0.98862,0.90786,0.41021,0.25181,0.8094,0.0004258,0.0004258,0.0004258
118,6185.01,0.27045,0.20679,0.8193,0.97181,0.96808,0.99184,0.90631,0.41029,0.24862,0.81073,0.00042085,0.00042085,0.00042085
119,6236.51,0.27844,0.2154,0.81742,0.97,0.9742,0.98706,0.90661,0.41341,0.24953,0.81007,0.0004159,0.0004159,0.0004159
120,6288.02,0.2759,0.21361,0.81829,0.9739,0.96612,0.99184,0.91094,0.40946,0.2464,0.81209,0.00041095,0.00041095,0.00041095
121,6339.53,0.27263,0.20585,0.82187,0.98054,0.9635,0.99294,0.91374,0.41763,0.24228,0.81061,0.000406,0.000406,0.000406
122,6391.04,0.26698,0.20916,0.82392,0.96673,0.97115,0.99391,0.9137,0.40703,0.23651,0.81083,0.00040105,0.00040105,0.00040105
123,6442.56,0.27094,0.2107,0.81999,0.95499,0.98965,0.99096,0.91598,0.40634,0.23639,0.8076,0.0003961,0.0003961,0.0003961
124,6494.05,0.2712,0.20452,0.8191,0.97039,0.96614,0.99068,0.90714,0.41105,0.2449,0.80549,0.00039115,0.00039115,0.00039115
125,6545.56,0.27201,0.20475,0.82339,0.98057,0.96285,0.99205,0.91828,0.39823,0.24023,0.81086,0.0003862,0.0003862,0.0003862
126,6597.13,0.27102,0.20027,0.82196,0.97171,0.95893,0.99096,0.91603,0.39537,0.24196,0.81269,0.00038125,0.00038125,0.00038125
127,6650.12,0.27104,0.20357,0.82356,0.9435,0.9875,0.9889,0.90859,0.40616,0.23972,0.81006,0.0003763,0.0003763,0.0003763
128,6703.04,0.26669,0.21146,0.81674,0.97155,0.96844,0.99151,0.91106,0.40682,0.24052,0.81025,0.00037135,0.00037135,0.00037135
129,6754.56,0.25372,0.19448,0.81951,0.95332,0.98166,0.99205,0.91388,0.40739,0.23714,0.80942,0.0003664,0.0003664,0.0003664
130,6806.05,0.26197,0.20479,0.81886,0.97342,0.95565,0.99205,0.9104,0.4007,0.2349,0.80752,0.00036145,0.00036145,0.00036145
131,6857.59,0.26523,0.20313,0.81591,0.9578,0.97207,0.99205,0.91487,0.40437,0.24062,0.80737,0.0003565,0.0003565,0.0003565
132,6909.07,0.26637,0.20784,0.81612,0.98228,0.95455,0.99205,0.91009,0.4024,0.23765,0.80906,0.00035155,0.00035155,0.00035155
133,6960.59,0.26789,0.20819,0.80944,0.97613,0.96755,0.99248,0.90843,0.39958,0.24288,0.80395,0.0003466,0.0003466,0.0003466
134,7012.13,0.25982,0.20379,0.81704,0.97754,0.96674,0.99248,0.91579,0.3931,0.24024,0.8046,0.00034165,0.00034165,0.00034165
135,7063.62,0.26045,0.20908,0.81844,0.94631,0.98667,0.99096,0.91121,0.39554,0.24199,0.79998,0.0003367,0.0003367,0.0003367
136,7115.14,0.26893,0.20389,0.82116,0.97877,0.96461,0.99391,0.91362,0.38878,0.23275,0.79811,0.00033175,0.00033175,0.00033175
137,7166.66,0.26389,0.20289,0.81198,0.9479,0.99354,0.99391,0.91556,0.39039,0.23219,0.79957,0.0003268,0.0003268,0.0003268
138,7218.15,0.2573,0.19629,0.81568,0.96864,0.97549,0.99391,0.91195,0.39776,0.23364,0.8041,0.00032185,0.00032185,0.00032185
139,7269.66,0.2553,0.18992,0.81669,0.97556,0.96957,0.995,0.91529,0.40347,0.23105,0.80676,0.0003169,0.0003169,0.0003169
140,7323.77,0.2526,0.19256,0.81446,0.97408,0.96179,0.98987,0.90906,0.39889,0.23173,0.8069,0.00031195,0.00031195,0.00031195
141,7375.29,0.25869,0.19787,0.82044,0.9811,0.96304,0.995,0.91769,0.39881,0.23087,0.80887,0.000307,0.000307,0.000307
142,7426.8,0.2539,0.19383,0.81937,0.96878,0.96247,0.99205,0.91383,0.39941,0.23216,0.80816,0.00030205,0.00030205,0.00030205
143,7478.3,0.25699,0.19676,0.81367,0.94063,0.99468,0.99205,0.91718,0.39174,0.23104,0.80153,0.0002971,0.0002971,0.0002971
144,7529.8,0.25923,0.19043,0.82038,0.95585,0.99628,0.995,0.92107,0.39087,0.22835,0.80047,0.00029215,0.00029215,0.00029215
145,7581.41,0.25763,0.19141,0.81457,0.96765,0.9869,0.995,0.92134,0.39327,0.22956,0.80387,0.0002872,0.0002872,0.0002872
146,7633.01,0.25579,0.19828,0.81938,0.98093,0.96546,0.995,0.91865,0.39681,0.23018,0.80625,0.00028225,0.00028225,0.00028225
147,7684.5,0.24807,0.18956,0.81396,0.98349,0.9624,0.995,0.91481,0.40472,0.22798,0.80936,0.0002773,0.0002773,0.0002773
148,7736.01,0.25254,0.19429,0.81646,0.95823,0.99066,0.995,0.91469,0.40478,0.2282,0.80851,0.00027235,0.00027235,0.00027235
149,7787.9,0.25329,0.19086,0.81524,0.96599,0.99115,0.995,0.91945,0.40308,0.23178,0.80718,0.0002674,0.0002674,0.0002674
150,7839.24,0.2465,0.18805,0.81228,0.96443,0.98843,0.99391,0.91708,0.39985,0.23269,0.80712,0.00026245,0.00026245,0.00026245
151,7891.78,0.24492,0.18715,0.81224,0.96637,0.98893,0.99391,0.91636,0.39732,0.23396,0.80597,0.0002575,0.0002575,0.0002575
152,7943.82,0.25428,0.19358,0.82209,0.96187,0.98861,0.99391,0.91677,0.39136,0.22339,0.80682,0.00025255,0.00025255,0.00025255
153,7995.89,0.24847,0.18628,0.81148,0.98209,0.96602,0.995,0.91777,0.38949,0.22342,0.80621,0.0002476,0.0002476,0.0002476
154,8047.98,0.24222,0.18938,0.81815,0.98431,0.96803,0.995,0.91686,0.3901,0.22645,0.80656,0.00024265,0.00024265,0.00024265
155,8100.06,0.24724,0.18088,0.81482,0.98071,0.96835,0.995,0.91752,0.38666,0.22507,0.80529,0.0002377,0.0002377,0.0002377
156,8152.12,0.25088,0.18897,0.81624,0.96116,0.98969,0.995,0.91888,0.38687,0.22634,0.80593,0.00023275,0.00023275,0.00023275
157,8205.29,0.2418,0.18498,0.80897,0.95983,0.99052,0.995,0.91976,0.39498,0.22285,0.80608,0.0002278,0.0002278,0.0002278
158,8256.96,0.23909,0.18347,0.81004,0.98321,0.96137,0.995,0.91572,0.39458,0.23005,0.8017,0.00022285,0.00022285,0.00022285
159,8313.84,0.24988,0.19109,0.81476,0.98701,0.96973,0.995,0.91847,0.39543,0.22663,0.80099,0.0002179,0.0002179,0.0002179
160,8373.51,0.23892,0.18698,0.81461,0.95663,0.99618,0.99322,0.91675,0.39637,0.22938,0.80123,0.00021295,0.00021295,0.00021295
161,8425.79,0.23909,0.17963,0.81336,0.95593,0.99234,0.99391,0.92188,0.40044,0.22799,0.80732,0.000208,0.000208,0.000208
162,8478.47,0.24222,0.18543,0.8095,0.97146,0.97294,0.99391,0.91771,0.39854,0.22411,0.80698,0.00020305,0.00020305,0.00020305
163,8530.71,0.23126,0.17704,0.81501,0.97476,0.96999,0.99391,0.92142,0.39979,0.22616,0.80671,0.0001981,0.0001981,0.0001981
164,8582.79,0.23719,0.18283,0.81053,0.98196,0.96744,0.995,0.92235,0.40277,0.22843,0.80581,0.00019315,0.00019315,0.00019315
